created_at,text,sentiment
2025-07-06 00:30:28+00:00,ga guna anjr buang2 duit tololl. mbg noh benerin,0
2025-07-06 00:51:00+00:00,Tiap hari ada laporan korupsi MBG ya kok malah minta nambah Anggaran lagi gimana coba,0
2025-07-06 01:42:54+00:00,wujud nyata manfaat MBG Untuk Ekosistem Gizi Berkelanjutan di Papua,1
2025-07-06 01:50:43+00:00,Sudah effisien katanya! Kok tetap tekor! Artinya bisa belum effesien kebijakan mbg danantara nyedot duit negara hanya untuk tinja untuk broker saham...atau rezim omon omon lemah tidak dipercaya! Jangan lama lama ngga sanggup mundur!! Sangat buruk! Minggu Hujan,0
2025-07-06 02:17:42+00:00,in the end energi itu tergantung dari mudorot mana yang pengen diterima. semua ada mudorotnya there is no such thing as free lunch brad kecuali MBG ampas wkwkwk.,0
2025-07-06 02:30:40+00:00,@bopduana Kesamaan kebijakan transisi energi sama MBG itu niatanya baik tapi implementasi salah. Dimana skill issue. Garis besarnya bagus cuman ya itu ndablek. SPD punya garis transisi energi bagus diserahin atas dasar koalisi ke Green jadi serampangan. S,0
2025-07-06 02:33:18+00:00,Program MBG tidak sekadar menyediakan makanan bergizi gratis tetapi juga membangun ekosistem berkelanjutan yang mengintegrasikan perbaikan gizi pemberdayaan ekonomi lokal dan dukungan bagi pembangunan SDM unggul di Indonesia.,1
2025-07-06 02:38:50+00:00,Program MBG cuman buang-buang anggaran,0
2025-07-06 02:51:58+00:00,Good. Sayangnya mas sudah banyak laporan misal dugaan korupsi di MBG tapi ndak ada tuh tindak lanjut. Malah Pak Hashim mbalik laporan ke Kepala BGN. haha Untuk Kopdes tdk sedikiti juga yg ingatkan potensi penyimpangan tapi malah ugal2an sampai Hak Desa mau dikunci.,0
2025-07-06 02:59:59+00:00,Anggaran besar untuk MBG jadi bukti nyata keseriusan pemerintah menjaga kesehatan anak-anak Indonesia. #MakanBergiziGratis #IndonesiaSehat #GenerasiTangguh,1
2025-07-06 03:28:59+00:00,BGN Jangan Cuekin Keluhan Mitra Dapur MBG,0
2025-07-06 03:38:58+00:00,Alokasi Anggaran Signifikan Buktikan Keseriusan Pemerintah dalam Program MBG. #MakanBergiziGratis #IndonesiaSehat #GenerasiTangguh,1
2025-07-06 03:39:13+00:00,Sebelum ekonomi mencapai pada titik ini kata orang2 prabowo ; - Kau yang gelap bukan indonesia. - Kalau miskin jangan terus salahkan pemerintah. - Jika ingin bekerja keluar negeri saja ada jutaan peluang disana. - Ekonomi terus bertumbuh berkat adanya MBG. - Dll. padahal nyatanya mbg jadi beban anggaran yang mengorbankan berbagai dana,0
2025-07-06 03:43:14+00:00,Komitmen nyata hadir lewat anggaran MBG yang mencapai Rp 240 triliun di 2026. Pemerintah serius siapkan generasi emas Indonesia! #MakanBergiziGratis #IndonesiaSehat #GenerasiTangguh,1
2025-07-06 03:43:35+00:00,Program MBG bukan sekadar janji! Rp 240 triliun dialokasikan pemerintah untuk masa depan anak-anak Indonesia. #MakanBergiziGratis #IndonesiaSehat #GenerasiTangguh,1
2025-07-06 03:55:30+00:00,Skandal MBG Riau Meluas! Korban Mulai Bersuara Kualitas Konsumsi Anak-Anak Terancam,0
2025-07-06 04:07:55+00:00,Katanya terima pengaduan korupsi tiap hari tapi anggarannya terus digelontorkan bahkan ada penambahan hingga 50 Triliun. Gak ada tindakan tegas hukum pelaku atau hentikan proyek MBG gitu @prabowo atau normalisasi bahwa korupsi menjadi hal biasa?,0
2025-07-06 04:08:00+00:00,MBG di Jaksel optimis jadi inspirasi daerah lain buat prioritaskan pemenuhan gizi anak-anak #DukungMBG,1
