created_at,text,sentiment,processed_text
2025-07-06 00:30:28+00:00,ga guna anjr buang2 duit tololl. mbg noh benerin,0,tidak anjr duit bodoh mbg noh benerin
2025-07-06 00:51:00+00:00,Tiap hari ada laporan korupsi MBG ya kok malah minta nambah Anggaran lagi gimana coba,0,tiap hari lapor korupsi mbg malah minta nambah anggar bagaimana coba
2025-07-06 01:42:54+00:00,wujud nyata manfaat MBG Untuk Ekosistem Gizi Berkelanjutan di Papua,1,wujud nyata manfaat mbg ekosistem gizi lanjut papua
2025-07-06 01:50:43+00:00,Sudah effisien katanya! Kok tetap tekor! Artinya bisa belum effesien kebijakan mbg danantara nyedot duit negara hanya untuk tinja untuk broker saham...atau rezim omon omon lemah tidak dipercaya! Jangan lama lama ngga sanggup mundur!! Sangat buruk! Minggu Hujan,0,effisien kata tetap tekor arti belum effesien bijak mbg danantara nyedot duit negara tinja broker saham rezim omon omon lemah tidak percaya jangan lama lama tidak sanggup mundur sangat buruk minggu hujan
2025-07-06 02:17:42+00:00,in the end energi itu tergantung dari mudorot mana yang pengen diterima. semua ada mudorotnya there is no such thing as free lunch brad kecuali MBG ampas wkwkwk.,0,the end energi gantung mudorot mana ken terima semua mudorotnya there such thing free lunch brad mbg ampas wkwkwk
2025-07-06 02:30:40+00:00,@bopduana Kesamaan kebijakan transisi energi sama MBG itu niatanya baik tapi implementasi salah. Dimana skill issue. Garis besarnya bagus cuman ya itu ndablek. SPD punya garis transisi energi bagus diserahin atas dasar koalisi ke Green jadi serampangan. S,0,sama bijak transisi energi sama mbg niatanya baik implementasi salah skill issue garis besar bagus cuman ndablek spd punya garis transisi energi bagus diserahin atas dasar koalisi green jadi serampang
2025-07-06 02:33:18+00:00,Program MBG tidak sekadar menyediakan makanan bergizi gratis tetapi juga membangun ekosistem berkelanjutan yang mengintegrasikan perbaikan gizi pemberdayaan ekonomi lokal dan dukungan bagi pembangunan SDM unggul di Indonesia.,1,program mbg tidak sekadar sedia makan gizi gratis bangun ekosistem lanjut integrasi baik gizi daya ekonomi lokal dukung bangun sdm unggul indonesia
2025-07-06 02:38:50+00:00,Program MBG cuman buang-buang anggaran,0,program mbg cuman buang buang anggar
2025-07-06 02:51:58+00:00,Good. Sayangnya mas sudah banyak laporan misal dugaan korupsi di MBG tapi ndak ada tuh tindak lanjut. Malah Pak Hashim mbalik laporan ke Kepala BGN. haha Untuk Kopdes tdk sedikiti juga yg ingatkan potensi penyimpangan tapi malah ugal2an sampai Hak Desa mau dikunci.,0,bagus sayang mas banyak lapor misal duga korupsi mbg ndak tuh tindak lanjut malah pak hashim mbalik lapor kepala bgn kopdes tidak sedikit ingat potensi simpang malah hak desa mau kunci
2025-07-06 02:59:59+00:00,Anggaran besar untuk MBG jadi bukti nyata keseriusan pemerintah menjaga kesehatan anak-anak Indonesia. #MakanBergiziGratis #IndonesiaSehat #GenerasiTangguh,1,anggar besar mbg jadi bukti nyata serius perintah jaga sehat anak anak indonesia
2025-07-06 03:28:59+00:00,BGN Jangan Cuekin Keluhan Mitra Dapur MBG,0,bgn jangan cuekin keluh mitra dapur mbg
2025-07-06 03:38:58+00:00,Alokasi Anggaran Signifikan Buktikan Keseriusan Pemerintah dalam Program MBG. #MakanBergiziGratis #IndonesiaSehat #GenerasiTangguh,1,alokasi anggar signifikan bukti serius perintah program mbg
2025-07-06 03:39:13+00:00,Sebelum ekonomi mencapai pada titik ini kata orang2 prabowo ; - Kau yang gelap bukan indonesia. - Kalau miskin jangan terus salahkan pemerintah. - Jika ingin bekerja keluar negeri saja ada jutaan peluang disana. - Ekonomi terus bertumbuh berkat adanya MBG. - Dll. padahal nyatanya mbg jadi beban anggaran yang mengorbankan berbagai dana,0,ekonomi capai titik kata prabowo kau gelap bukan indonesia miskin jangan terus salah perintah kerja keluar negeri juta peluang sana ekonomi terus tumbuh berkat ada mbg padahal nyata mbg jadi beban anggar korban bagai dana
2025-07-06 03:43:14+00:00,Komitmen nyata hadir lewat anggaran MBG yang mencapai Rp 240 triliun di 2026. Pemerintah serius siapkan generasi emas Indonesia! #MakanBergiziGratis #IndonesiaSehat #GenerasiTangguh,1,komitmen nyata hadir lewat anggar mbg capai triliun perintah serius siap generasi emas indonesia
2025-07-06 03:43:35+00:00,Program MBG bukan sekadar janji! Rp 240 triliun dialokasikan pemerintah untuk masa depan anak-anak Indonesia. #MakanBergiziGratis #IndonesiaSehat #GenerasiTangguh,1,program mbg bukan sekadar janji triliun alokasi perintah masa depan anak anak indonesia
2025-07-06 03:55:30+00:00,Skandal MBG Riau Meluas! Korban Mulai Bersuara Kualitas Konsumsi Anak-Anak Terancam,0,skandal mbg riau luas korban mulai suara kualitas konsumsi anak anak ancam
2025-07-06 04:07:55+00:00,Katanya terima pengaduan korupsi tiap hari tapi anggarannya terus digelontorkan bahkan ada penambahan hingga 50 Triliun. Gak ada tindakan tegas hukum pelaku atau hentikan proyek MBG gitu @prabowo atau normalisasi bahwa korupsi menjadi hal biasa?,0,kata terima adu korupsi tiap hari anggar terus gelontor bahkan tambah hingga triliun tidak tindak tegas hukum laku henti proyek mbg normalisasi korupsi jadi biasa
2025-07-06 04:08:00+00:00,MBG di Jaksel optimis jadi inspirasi daerah lain buat prioritaskan pemenuhan gizi anak-anak #DukungMBG,1,mbg jaksel optimis jadi inspirasi daerah buat prioritas penuh gizi anak anak
2025-07-06 04:20:56+00:00,Penguatan gizi seimbang sejak dini diharapkan hal ini dapat mencegah stunting serta membentuk generasi Indonesia yang unggul. MBG adalah investasi jangka panjang Bangsa Indonesia untuk menciptakan anak-anak yang sehat cerdas dan siap menghadapi masa depan.,1,kuat gizi imbang sejak dini harap cegah stunting bentuk generasi indonesia unggul mbg investasi jangka panjang bangsa indonesia cipta anak anak sehat cerdas siap hadap masa depan
2025-07-06 04:25:32+00:00,Duit gede sampe Rp 240 triliun digelontorin pemerintah buat MBG. Bukti nyata komitmen lahirin generasi hebat demi Indonesia maju. #MakanBergiziGratis #IndonesiaSehat #GenerasiTangguh,1,duit gede sampe triliun digelontorin perintah buat mbg bukti nyata komitmen lahirin generasi hebat indonesia maju
2025-07-06 04:26:03+00:00,Anggaran Rp 240 triliun buat MBG di 2026 buktiin pemerintah serius banget nyiapin generasi sehat cerdas dan tangguh. Masa depan Indonesia makin cerah! #MakanBergiziGratis #IndonesiaSehat #GenerasiTangguh,1,anggar triliun buat mbg buktiin perintah serius sangat nyiapin generasi sehat cerdas tangguh masa depan indonesia makin cerah
2025-07-06 02:38:50+00:00,Program MBG Untuk Membangun Generasi Sehat Dan Cerdas,1,program mbg bangun generasi sehat cerdas
2025-07-06 04:56:44+00:00,Program MBG makin akuntabel. KPK dan Ombudsman RI memperkuat pengawasan guna mencegah maladministrasi dan menjaga kualitas. Demi MBG untuk Rakyat bukan untuk kepentingan lain. #MBGAkuntabel,1,program mbg makin akuntabel kpk ombudsman kuat awas cegah maladministrasi jaga kualitas mbg rakyat bukan penting
2025-07-06 05:13:50+00:00,Sudah kupikirin dari dulu MBG kayak sekolah korea gitu mereka kalau di sini paling yg sekolah swasta2 aja apalagi mereka bisa nyediain makanan enak. Lah kalau MBG diurus pemerintah pusat berasa dia yang punya yayasan sekolah. MBG ngga cocok dipegang pemerintah mending stop aja,0,kupikirin dulu mbg sekolah korea sini paling sekolah nyediain makan enak mbg urus perintah pusat asa punya yayasan sekolah mbg tidak cocok pegang perintah mending stop
2025-07-06 05:17:16+00:00,Login bangke MBG lo noh Gagal Makanan Beracun Gratis,0,login bangke mbg kamu noh gagal makan racun gratis
2025-07-06 06:05:19+00:00,Sudah Terjadi Korupsi Di Mana-mana! Dari Level Atas Sampai Level Dapur MBG Program Memproduksi Tai Dengan Anggaran Ratusan Triliun Makan Bergizi Gratis (MBG) disinyalir bukan hanya berisiko gagal secara implementatif tetapi juga membuka ruang bagi korupsi sistemik ,0,jadi korupsi mana mana level atas level dapur mbg program produksi tai anggar ratus triliun makan gizi gratis mbg sinyalir bukan risiko gagal implementatif buka ruang korupsi sistemik
2025-07-19 07:02:31+00:00,MBG bertujuan untuk pemerataan pemenuhan gizi anak  Ayo dukunng MBG #MakanBergiziGratis #IndonesiaSehat #GenerasiTangguh,1,mbg tuju perata penuh gizi anak ayo dukunng mbg
2025-12-01 04:44:16+00:00,"MBG itu anggaran perporsi Rp 10 000 - Coba sebutkan harga makanan yang dimakan Bahlil seharga Rp 10 000 - ? MBG cuman buang-buang anggaran, gak ada gizi gizinya",0,mbg anggar porsi coba sebut harga makan makan bahlil harga mbg cuman buang buang anggar tidak gizi gizi
2025-07-06 07:46:10+00:00,salahin negaranya yg ngecut budget pendidikan buat program MBG yg gagal,0,salahin negara ngecut budget didik buat program mbg gagal
2025-07-06 08:54:31+00:00,"Alokasi Anggaran Signifikan Buktikan Keseriusan Pemerintah dalam Program MBG, ayo dukung terus mbg",1,alokasi anggar signifikan bukti serius perintah program mbg ayo dukung terus mbg
2025-12-01 04:44:16+00:00,MBG solusi untuk mengurangi populasi,0,mbg solusi kurang populasi
2025-07-06 09:39:52+00:00,@JanissaryD_Last MBG ini ada grup buzzerp sendiri. Selalu puja2 MBG apapun caranya. Tapi pas anak sekolah keracunan MBG mereka hilang. Ini ciri2 para akun penjilat,0,mbg grup buzzerp sendiri selalu mbg apa cara pas anak sekolah racun mbg hilang akun jilat
2025-07-06 09:53:31+00:00,Asupan gizi seimbang dari MBG membantu siswa lebih fokus selama proses pembelajaran. #mbgPapua #MBGDorongekonomi #papuaviral,1,asupan gizi imbang mbg bantu siswa lebih fokus lama proses ajar
2025-07-06 09:53:44+00:00,Nutrisi yang cukup dari MBG memastikan anak-anak tumbuh sesuai dengan tahapan usianya. #mbgPapua #MBGDorongekonomi #papuaviral,1,nutrisi cukup mbg pasti anak anak tumbuh sesuai tahap usia
2025-07-06 10:00:04+00:00,Sering orang bilang Program MBG hanya sekedar janji kampanye padahal MBG bukan hanya Janji tapi sebuah hasil dari kegelisahan beliau tentang nasip anak bangsa yang mengalami penurunan Gizi yang berdampak Pada masa depan. Prabowo #KinerjaPrabowoSubiano,1,sering orang bilang program mbg dar janji kampanye padahal mbg bukan janji buah hasil gelisah beliau nasip anak bangsa alami turun gizi dampak masa depan prabowo
2025-07-06 10:31:33+00:00,Akun ternakan... Lanjutkan MBG,1,akun terna lanjut mbg
2025-12-01 04:44:16+00:00,mbg walaupun program gagal tapi banyak banget buzzernya,0,mbg walaupun program gagal banyak sangat buzzernya
2025-07-06 12:37:05+00:00,ah.... #BodoAmat ...khn masih bisa joget-2 ...dpt MBG .... percuma udh byr pajak mahal-2 buat bayar yg mikir negara....,0,khn joget dpt mbg percuma byr pajak mahal buat bayar mikir negara
2025-12-01 04:44:16+00:00,Kaget tarif Trump bentaran doang... rakyat udah lupa. Lebih penting janji MBG dan retorika 'Indonesia negara besar'. Malah jalan ke Luar Negeri sok²an ngurus negara lain. Ni memang inner circle presiden yg ABS sepertinya,0,kaget tarif trump bentar rakyat lupa lebih penting janji mbg retorika indonesia negara besar malah jalan luar negeri ngurus negara inner circle presiden abs seperti
2025-12-01 04:44:16+00:00,MBG aja ga ada gizinya,0,mbg tidak gizi
2025-12-01 04:44:16+00:00,Masy awam saja bisa membaca masa depan program MBG. Ini bicara duit besar bkn hanya rawan di korupsi & jd bancakan byk pihak. Ada masalah lebih besar yakni gagal sementara anggarannya nilainya super bombastis. Program ini bisa menguntungkan segelintir org merugikan jutaan org!,0,masy awam baca masa depan program mbg bicara duit besar bkn rawan korupsi jadi bancak byk pihak masalah lebih besar gagal anggar nilai super bombastis program untung gelintir orang rugi juta orang
2025-07-06 15:15:16+00:00,Karanya Efisiensi anggaran sehingga MBG dari Rp.15rb dipangkas jadi Rp.10rb lalu dipangkas lg jd Rp.8rb/bocil..ternyata Isteri menteri Plesiran KELILING EROPA PAKAI APBN..Dimana efisiensinya Pak @prabowo ?..,0,kara efisiensi anggar mbg pangkas jadi lalu pangkas jadi bocil nyata isteri menteri plesiran keliling eropa pakai apbn efisiensi pak
2025-12-01 04:44:16+00:00,baru satu yang terungkap kepala bgn riau korupsi Rp 1500 perporsi mbg dan peras yayasan hingga 70 juta - emang problematik ini program,0,baru satu ungkap kepala bgn riau korupsi porsi mbg peras yayasan hingga juta problematik program
2025-07-06 16:04:29+00:00,banyak yg lebih layak dari pada program MBG,0,banyak lebih layak program mbg
2025-07-19 07:02:31+00:00,meanwhile yang katanya makan bergizi gratis (mbg) malah seperti sampah,0,meanwhile kata makan gizi gratis mbg malah sampah
2025-12-01 04:44:16+00:00,MBG tuh harusnya bergizi bukan malah beracun lho pak pres @prabowo,0,mbg tuh harus gizi bukan malah racun lho pak pres
2025-07-06 23:18:59+00:00,Walaupun karbonya 3 tapi masa looks better daripada MBG buat anak bangsa yang besar inih.....,0,walaupun karbonya masa looks better mbg buat anak bangsa besar inih
2025-07-06 23:28:16+00:00,Harusnya MBG juga kaya gini,0,harus mbg gin
2025-07-06 23:44:20+00:00,MBG memberikan manfaat yang nyata dirasakan masyarakat pedalaman atau kurang mampu #MakanBergiziGratis #MakanBergiziGratisBantuUMKM #MBGPapua,1,mbg beri manfaat nyata rasa masyarakat dalam kurang mampu
2025-07-06 23:44:48+00:00, dukung program MBG di Papua #MakanBergiziGratis #MakanBergiziGratisBantuUMKM #MBGPapua,1,dukung program mbg papua
2025-07-06 23:54:13+00:00,Program MBG turut dirasakan oleh siswa yang berada di daerah Papua Pegunungan #papua #papuatengah #papuahits #jayapura #nabire #jayawijaya #merauke #mbg #mbgpapua #MBGMajukanPapua,1,program mbg turut rasa siswa ada daerah papua gunung
2025-07-06 23:55:36+00:00,MBG memberikan manfaat yang nyata dirasakan masyarakat pedalaman kurang mampu #papua #papuatengah #papuahits #jayapura #nabire #jayawijaya #merauke #mbg #mbgpapua #MBGMajukanPapua,1,mbg beri manfaat nyata rasa masyarakat dalam kurang mampu
